id_denuncia,texto_denuncia,nivel_risco
1,Encontraram um revólver escondido no banheiro masculino.,Alto Risco
2,Me chamaram de feio no recreio. - Aconteceu na quarta.,Baixo Risco
3,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na segunda.,Baixo Risco
4,Um aluno da minha sala trouxe uma faca na mochila e me mostrou.,Alto Risco
5,"Me empurraram na escada de propósito, quase caí. - Aconteceu na sexta.",Risco Moderado
6,Pegaram minha borracha e não devolveram.,Baixo Risco
7,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo.,Risco Moderado
8,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar.,Risco Moderado
9,Um aluno ameaçou matar a professora depois de levar uma advertência.,Alto Risco
10,Um menino da outra turma me deu língua.,Baixo Risco
11,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
12,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar.,Risco Moderado
13,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo.,Risco Moderado
14,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na sexta.,Baixo Risco
15,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola.,Alto Risco
16,"Me empurraram na escada de propósito, quase caí. - Aconteceu na segunda.",Risco Moderado
17,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
18,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na segunda.,Baixo Risco
19,"Me empurraram na escada de propósito, quase caí. - Aconteceu na sexta.",Risco Moderado
20,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
21,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo. - Aconteceu na quarta.,Risco Moderado
22,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na quarta.,Baixo Risco
23,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
24,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na quinta.,Risco Moderado
25,Me chamaram de feio no recreio.,Baixo Risco
26,Pegaram minha borracha e não devolveram. - Aconteceu na quinta.,Baixo Risco
27,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na quinta.,Baixo Risco
28,Pegaram minha borracha e não devolveram.,Baixo Risco
29,Esconderam meu estojo de sacanagem.,Baixo Risco
30,Encontraram um revólver escondido no banheiro masculino. - Aconteceu na terça.,Alto Risco
31,"Me empurraram na escada de propósito, quase caí. - Aconteceu na quarta.",Risco Moderado
32,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
33,Pegaram minha borracha e não devolveram.,Baixo Risco
34,Esconderam meu estojo de sacanagem. - Aconteceu na terça.,Baixo Risco
35,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar.,Risco Moderado
36,Vi um cara vendendo drogas no portão e ele disse que está armado.,Alto Risco
37,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola. - Aconteceu na sexta.,Alto Risco
38,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
39,"Bateram muito num menino no pátio, ele estava sangrando bastante.",Alto Risco
40,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na terça.,Risco Moderado
41,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na quinta.,Baixo Risco
42,Esconderam meu estojo de sacanagem. - Aconteceu na sexta.,Baixo Risco
43,Me chamaram de feio no recreio. - Aconteceu na terça.,Baixo Risco
44,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na quinta.,Risco Moderado
45,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar. - Aconteceu na quarta.,Risco Moderado
46,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar. - Aconteceu na sexta.,Risco Moderado
47,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo.,Risco Moderado
48,Um grupo ficou me encurralando no banheiro no intervalo. - Aconteceu na quinta.,Risco Moderado
49,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola.,Alto Risco
50,Ficam mandando mensagens me xingando de lixo todos os dias.,Risco Moderado
51,Me chamaram de feio no recreio. - Aconteceu na sexta.,Baixo Risco
52,Estão espalhando mentiras graves sobre mim para a escola inteira.,Risco Moderado
53,Ficam mandando mensagens me xingando de lixo todos os dias.,Risco Moderado
54,Encontraram um revólver escondido no banheiro masculino. - Aconteceu na segunda.,Alto Risco
55,Pegaram minha borracha e não devolveram.,Baixo Risco
56,Vi um cara vendendo drogas no portão e ele disse que está armado.,Alto Risco
57,Estão combinando um ataque armado no grupo do Discord da escola.,Alto Risco
58,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na sexta.,Baixo Risco
59,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
60,Vi um cara vendendo drogas no portão e ele disse que está armado.,Alto Risco
61,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
62,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
63,Ficam mandando mensagens me xingando de lixo todos os dias.,Risco Moderado
64,Um menino da outra turma me deu língua. - Aconteceu na terça.,Baixo Risco
65,Um aluno ameaçou matar a professora depois de levar uma advertência.,Alto Risco
66,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola.,Alto Risco
67,Um aluno ameaçou matar a professora depois de levar uma advertência.,Alto Risco
68,Pegaram minha borracha e não devolveram. - Aconteceu na terça.,Baixo Risco
69,Me chamaram de feio no recreio. - Aconteceu na quarta.,Baixo Risco
70,Esconderam meu estojo de sacanagem.,Baixo Risco
71,Um menino da outra turma me deu língua.,Baixo Risco
72,Me chamaram de feio no recreio. - Aconteceu na quinta.,Baixo Risco
73,Esconderam meu estojo de sacanagem.,Baixo Risco
74,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na sexta.,Baixo Risco
75,Um grupo ficou me encurralando no banheiro no intervalo.,Risco Moderado
76,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na quarta.,Baixo Risco
77,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
78,Um menino da outra turma me deu língua. - Aconteceu na terça.,Baixo Risco
79,Esconderam meu estojo de sacanagem.,Baixo Risco
80,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na terça.,Risco Moderado
81,Um menino da outra turma me deu língua. - Aconteceu na sexta.,Baixo Risco
82,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
83,Ficam mandando mensagens me xingando de lixo todos os dias.,Risco Moderado
84,Vi um cara vendendo drogas no portão e ele disse que está armado. - Aconteceu na segunda.,Alto Risco
85,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na quinta.,Baixo Risco
86,Avisaram que vão me bater na saída da escola hoje. - Aconteceu na segunda.,Risco Moderado
87,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
88,Avisaram que vão me bater na saída da escola hoje. - Aconteceu na sexta.,Risco Moderado
89,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na sexta.,Risco Moderado
90,Ficam mandando mensagens me xingando de lixo todos os dias.,Risco Moderado
91,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
92,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
93,Esconderam meu estojo de sacanagem. - Aconteceu na segunda.,Baixo Risco
94,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
95,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na terça.,Risco Moderado
96,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
97,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar.,Risco Moderado
98,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
99,Um menino da outra turma me deu língua. - Aconteceu na quarta.,Baixo Risco
100,Um aluno ameaçou matar a professora depois de levar uma advertência.,Alto Risco
101,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na sexta.,Risco Moderado
102,Me chamaram de feio no recreio. - Aconteceu na segunda.,Baixo Risco
103,Um grupo ficou me encurralando no banheiro no intervalo. - Aconteceu na segunda.,Risco Moderado
104,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola.,Alto Risco
105,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na quinta.,Risco Moderado
106,"Me empurraram na escada de propósito, quase caí. - Aconteceu na sexta.",Risco Moderado
107,Estão combinando um ataque armado no grupo do Discord da escola. - Aconteceu na segunda.,Alto Risco
108,Estão combinando um ataque armado no grupo do Discord da escola. - Aconteceu na quinta.,Alto Risco
109,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na quarta.,Baixo Risco
110,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo. - Aconteceu na quarta.,Risco Moderado
111,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na quarta.,Baixo Risco
112,Um menino da outra turma me deu língua.,Baixo Risco
113,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
114,Um aluno da minha sala trouxe uma faca na mochila e me mostrou. - Aconteceu na sexta.,Alto Risco
115,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar. - Aconteceu na quarta.,Risco Moderado
116,Encontraram um revólver escondido no banheiro masculino.,Alto Risco
117,Pegaram minha borracha e não devolveram.,Baixo Risco
118,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola.,Alto Risco
119,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na quarta.,Baixo Risco
120,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
121,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
122,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na terça.,Baixo Risco
123,Um aluno ameaçou matar a professora depois de levar uma advertência. - Aconteceu na sexta.,Alto Risco
124,Um grupo ficou me encurralando no banheiro no intervalo. - Aconteceu na segunda.,Risco Moderado
125,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
126,Um menino da outra turma me deu língua.,Baixo Risco
127,Esconderam meu estojo de sacanagem.,Baixo Risco
128,Um aluno ameaçou matar a professora depois de levar uma advertência. - Aconteceu na sexta.,Alto Risco
129,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
130,Esconderam meu estojo de sacanagem.,Baixo Risco
131,Pegaram minha borracha e não devolveram. - Aconteceu na segunda.,Baixo Risco
132,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na quinta.,Baixo Risco
133,"Me empurraram na escada de propósito, quase caí. - Aconteceu na quarta.",Risco Moderado
134,Vi um cara vendendo drogas no portão e ele disse que está armado.,Alto Risco
135,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na terça.,Risco Moderado
136,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
137,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na segunda.,Baixo Risco
138,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na segunda.,Baixo Risco
139,Um menino da outra turma me deu língua.,Baixo Risco
140,Um menino da outra turma me deu língua.,Baixo Risco
141,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na sexta.,Baixo Risco
142,Me chamaram de feio no recreio. - Aconteceu na sexta.,Baixo Risco
143,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na terça.,Risco Moderado
144,Me chamaram de feio no recreio.,Baixo Risco
145,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
146,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
147,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo. - Aconteceu na terça.,Risco Moderado
148,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
149,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
150,Esconderam meu estojo de sacanagem. - Aconteceu na sexta.,Baixo Risco
151,Pegaram minha borracha e não devolveram.,Baixo Risco
152,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na quinta.,Baixo Risco
153,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
154,Pegaram minha borracha e não devolveram. - Aconteceu na quarta.,Baixo Risco
155,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
156,Um grupo ficou me encurralando no banheiro no intervalo.,Risco Moderado
157,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar.,Risco Moderado
158,Um grupo ficou me encurralando no banheiro no intervalo. - Aconteceu na sexta.,Risco Moderado
159,Me chamaram de feio no recreio.,Baixo Risco
160,Vi um cara vendendo drogas no portão e ele disse que está armado.,Alto Risco
161,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar.,Risco Moderado
162,Um aluno da minha sala trouxe uma faca na mochila e me mostrou. - Aconteceu na segunda.,Alto Risco
163,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
164,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
165,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na terça.,Risco Moderado
166,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar. - Aconteceu na quarta.,Risco Moderado
167,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na sexta.,Baixo Risco
168,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar.,Risco Moderado
169,Um menino da outra turma me deu língua.,Baixo Risco
170,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
171,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na quinta.,Baixo Risco
172,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
173,Pegaram minha borracha e não devolveram.,Baixo Risco
174,Um grupo ficou me encurralando no banheiro no intervalo. - Aconteceu na quinta.,Risco Moderado
175,Esconderam meu estojo de sacanagem. - Aconteceu na quinta.,Baixo Risco
176,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
177,Um aluno ameaçou matar a professora depois de levar uma advertência.,Alto Risco
178,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola.,Alto Risco
179,Avisaram que vão me bater na saída da escola hoje. - Aconteceu na segunda.,Risco Moderado
180,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
181,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
182,Esconderam meu estojo de sacanagem.,Baixo Risco
183,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
184,Um grupo ficou me encurralando no banheiro no intervalo.,Risco Moderado
185,Me chamaram de feio no recreio. - Aconteceu na segunda.,Baixo Risco
186,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na quinta.,Risco Moderado
187,Esconderam meu estojo de sacanagem.,Baixo Risco
188,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na quarta.,Baixo Risco
189,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na segunda.,Baixo Risco
190,Um menino da outra turma me deu língua. - Aconteceu na quinta.,Baixo Risco
191,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
192,Esconderam meu estojo de sacanagem.,Baixo Risco
193,Um grupo ficou me encurralando no banheiro no intervalo. - Aconteceu na sexta.,Risco Moderado
194,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na terça.,Baixo Risco
195,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo. - Aconteceu na sexta.,Risco Moderado
196,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na sexta.,Baixo Risco
197,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na terça.,Baixo Risco
198,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na quinta.,Baixo Risco
199,"Me empurraram na escada de propósito, quase caí. - Aconteceu na quinta.",Risco Moderado
200,Um aluno ameaçou matar a professora depois de levar uma advertência.,Alto Risco
201,Avisaram que vão me bater na saída da escola hoje. - Aconteceu na terça.,Risco Moderado
202,Um grupo ameaçou invadir a escola armados porque expulsaram um amigo deles.,Alto Risco
203,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na sexta.,Baixo Risco
204,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na quarta.,Risco Moderado
205,Estão combinando um ataque armado no grupo do Discord da escola.,Alto Risco
206,Me chamaram de feio no recreio.,Baixo Risco
207,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
208,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na quinta.,Risco Moderado
209,Estão espalhando mentiras graves sobre mim para a escola inteira.,Risco Moderado
210,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na terça.,Baixo Risco
211,Pegaram minha borracha e não devolveram.,Baixo Risco
212,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na sexta.,Risco Moderado
213,Me chamaram de feio no recreio.,Baixo Risco
214,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
215,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
216,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
217,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar.,Risco Moderado
218,"Bateram muito num menino no pátio, ele estava sangrando bastante. - Aconteceu na quinta.",Alto Risco
219,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
220,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na quarta.,Risco Moderado
221,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo.,Risco Moderado
222,"Me empurraram na escada de propósito, quase caí. - Aconteceu na segunda.",Risco Moderado
223,Vi um cara vendendo drogas no portão e ele disse que está armado. - Aconteceu na quarta.,Alto Risco
224,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo. - Aconteceu na terça.,Risco Moderado
225,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na quinta.,Risco Moderado
226,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo. - Aconteceu na sexta.,Risco Moderado
227,Estão espalhando mentiras graves sobre mim para a escola inteira.,Risco Moderado
228,Pegaram minha borracha e não devolveram. - Aconteceu na terça.,Baixo Risco
229,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
230,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na segunda.,Baixo Risco
231,Ficam mandando mensagens me xingando de lixo todos os dias.,Risco Moderado
232,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
233,Um menino da outra turma me deu língua.,Baixo Risco
234,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
235,Avisaram que vão me bater na saída da escola hoje. - Aconteceu na sexta.,Risco Moderado
236,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
237,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
238,Um grupo ameaçou invadir a escola armados porque expulsaram um amigo deles. - Aconteceu na quarta.,Alto Risco
239,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo.,Risco Moderado
240,Um menino da outra turma me deu língua.,Baixo Risco
241,Esconderam meu estojo de sacanagem.,Baixo Risco
242,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na terça.,Risco Moderado
243,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na sexta.,Risco Moderado
244,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na terça.,Baixo Risco
245,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
246,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
247,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na terça.,Baixo Risco
248,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na terça.,Baixo Risco
249,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar. - Aconteceu na quinta.,Risco Moderado
250,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na sexta.,Risco Moderado
251,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na terça.,Baixo Risco
252,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola.,Alto Risco
253,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na quarta.,Risco Moderado
254,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na sexta.,Baixo Risco
255,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
256,Pegaram minha borracha e não devolveram.,Baixo Risco
257,Me chamaram de feio no recreio. - Aconteceu na quarta.,Baixo Risco
258,Pegaram minha borracha e não devolveram. - Aconteceu na segunda.,Baixo Risco
259,Me chamaram de feio no recreio. - Aconteceu na quarta.,Baixo Risco
260,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na quinta.,Baixo Risco
261,Um menino da outra turma me deu língua. - Aconteceu na segunda.,Baixo Risco
262,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar.,Risco Moderado
263,Avisaram que vão me bater na saída da escola hoje. - Aconteceu na quarta.,Risco Moderado
264,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
265,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
266,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
267,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar.,Risco Moderado
268,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na quinta.,Baixo Risco
269,"Me empurraram na escada de propósito, quase caí. - Aconteceu na quinta.",Risco Moderado
270,Um aluno da minha sala trouxe uma faca na mochila e me mostrou. - Aconteceu na segunda.,Alto Risco
271,Estão combinando um ataque armado no grupo do Discord da escola.,Alto Risco
272,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na sexta.,Risco Moderado
273,Um menino da outra turma me deu língua. - Aconteceu na quarta.,Baixo Risco
274,Ficam mandando mensagens me xingando de lixo todos os dias.,Risco Moderado
275,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na segunda.,Baixo Risco
276,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
277,Roubaram meu dinheiro do lanche e disseram que se eu contar vão me pegar.,Risco Moderado
278,Me chamaram de feio no recreio. - Aconteceu na quarta.,Baixo Risco
279,Um grupo ameaçou invadir a escola armados porque expulsaram um amigo deles.,Alto Risco
280,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
281,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
282,Ficam rindo da minha roupa quando eu chego na sala. - Aconteceu na sexta.,Baixo Risco
283,Um grupo ficou me encurralando no banheiro no intervalo.,Risco Moderado
284,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na quarta.,Risco Moderado
285,Um menino da outra turma me deu língua.,Baixo Risco
286,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
287,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
288,Um menino da outra turma me deu língua.,Baixo Risco
289,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na segunda.,Risco Moderado
290,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
291,Ele disse que não tem mais vontade de viver e que vai fazer uma besteira amanhã na escola.,Alto Risco
292,Um grupo ficou me encurralando no banheiro no intervalo. - Aconteceu na quinta.,Risco Moderado
293,Esconderam meu estojo de sacanagem. - Aconteceu na terça.,Baixo Risco
294,Estão combinando um ataque armado no grupo do Discord da escola. - Aconteceu na segunda.,Alto Risco
295,Um grupo ficou me encurralando no banheiro no intervalo. - Aconteceu na sexta.,Risco Moderado
296,"Bateram muito num menino no pátio, ele estava sangrando bastante.",Alto Risco
297,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na quarta.,Baixo Risco
298,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na sexta.,Baixo Risco
299,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na segunda.,Risco Moderado
300,Me chamaram de feio no recreio.,Baixo Risco
301,Ficam rindo da minha roupa quando eu chego na sala.,Baixo Risco
